File Name,File Type
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
PRATHYUSHA ENGINEERING COLLEGE.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
MINI PROJECT ML.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
CASE STUDY.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
CASE STUDY.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
CASE STUDY.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
CASE STUDY.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
CASE STUDY.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Screenshot 2025-09-01 213059.png,image/png
Screenshot 2025-09-01 213059.png,image/png
Screenshot 2025-09-01 213059.png,image/png
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Screenshot 2026-06-19 161755.png,image/png
Screenshot 2026-06-19 161755.png,image/png
Screenshot 2026-06-19 161755.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-19 161755.png,image/png
Screenshot 2026-06-19 161755.png,image/png
Screenshot 2026-06-19 161755.png,image/png
Screenshot 2026-06-30 150525.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-30 150314.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Screenshot 2026-06-19 161755.png,image/png
Screenshot 2026-06-19 161755.png,image/png
Screenshot 2026-06-12 133734.png,image/png
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
Team_Name_SheBuilds_Chennai_Hack.pptx (2).pdf,application/pdf
